station_id,anchor_type,real_datetime,camera_datetime,source,notes,segment_index,status,evidence,why
CT01,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT02,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT03,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT04,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT05,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT06,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT07,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT08,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT09,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT10,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT11,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT12,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT13,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT14,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT15,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT16,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT17,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT18,unrepairable_pending,,,field_notes.csv,"segment 0 has a datable install visit (2025-11-14) but no frame WITNESSING it — no labelled human or vehicle inside the segment. What the clock read at that visit is therefore unknown, and a counter-0001 frame does not supply it: it marks where to look, not when it was taken",0,NEEDS_REVIEW,,"segment 0 has a datable install visit (2025-11-14) but no frame WITNESSING it — no labelled human or vehicle inside the segment. What the clock read at that visit is therefore unknown, and a counter-0001 frame does not supply it: it marks where to look, not when it was taken"
CT18,unrepairable_pending,,,field_notes.csv,"segment 1 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026",1,NEEDS_REVIEW,,"segment 1 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026"
CT18,unrepairable_pending,,,field_notes.csv,"segment 2 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026",2,NEEDS_REVIEW,,"segment 2 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026"
CT18,unrepairable_pending,,,field_notes.csv,"segment 3 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026",3,NEEDS_REVIEW,,"segment 3 of 5 is interior: it begins at an unwitnessed reset, and only a mid-deployment visit could date it. None is recorded for otono_2026"
CT18,unrepairable_pending,,,field_notes.csv,"segment 4 is incoherent (filename_mmdd_disagrees_with_datetime); an anchor repairs a run of the clock, not a run that contradicts itself",4,NEEDS_REVIEW,,"segment 4 is incoherent (filename_mmdd_disagrees_with_datetime); an anchor repairs a run of the clock, not a run that contradicts itself"
CT19,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT20,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT21,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT22,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT23,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT24,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT25,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT26,,,,,,,NOT_NEEDED,window_checked,"clock_clean: 1 coherent segment(s), no reset and nothing outside the deployment window"
CT27,,,,,,,NOT_NEEDED,no_window_available,"clock_clean: 1 coherent segment(s) and no reset — but NO deployment window could be built for otono_2026, so a forward jump would not have been detected. Record this station's install and retrieval dates in field_notes.csv to close the gap"
